age,sex,s,v,rs,rv,dead,vrs,sv,n
0,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
1,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
2,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
3,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
4,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
5,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
6,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
7,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
8,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
9,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
10,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
11,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
12,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
13,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
14,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
15,female,0.0171684158633439,0.0544765818603289,0.0,0.0,0,0,0.0010085514549208,0.9273464508214062
16,female,0.027463865322648,0.0741939399462655,0.0052218486999999,0.0,0,0,0.0022739925034447,0.8908463535276416
17,female,0.0437968024953438,0.0885536937848099,0.0104436973999999,0.0,0,0,0.0044932404501532,0.852712565869693
18,female,0.0621461757223269,0.1096782454617331,0.0156655461,0.0,0,0,0.008313697305729,0.8041963354102108
19,female,0.0861569660331755,0.1374354616692302,0.0208873948,0.0,0,0,0.0155629977513495,0.7399571797462446
20,female,0.0952960704587774,0.1472264719010348,0.0261092435,0.0,0,0,0.0189986553384446,0.7123695588017429
21,female,0.1062330369276449,0.1493938857271759,0.0476393274999999,0.0,0,0,0.0219691013713273,0.6747646484738519
22,female,0.1096195518557672,0.1462120395895468,0.0691694115,0.0,0,0,0.0221999994081038,0.652798997646582
23,female,0.1141955774471378,0.1360446926378589,0.0906994955,0.0,0,0,0.021327590299063,0.6377326441159401
24,female,0.1138483822586073,0.1199800588751692,0.1122295795,0.0,0,0,0.0182636600411479,0.6356783193250755
25,female,0.1137047398438715,0.1019516384830288,0.1337596635,0.0,0,0,0.0150692456312075,0.6355147125418921
26,female,0.1158288783641181,0.0831097823885389,0.1448460501,0.0,0,0,0.0122030960031052,0.6440121931442375
27,female,0.1166541204669869,0.0729428111387016,0.1559324367,0.0,0,0,0.0106394936535246,0.6438311380407866
28,female,0.1169547786532453,0.0646924761200842,0.1670188233,0.0,0,0,0.0093523992452389,0.6419815226814314
29,female,0.1169678840281196,0.0583411860375623,0.1781052099,0.0,0,0,0.0083594040733727,0.6382263159609454
30,female,0.1153451260910891,0.0539843951732681,0.1891915965,0.0,0,0,0.0075650538557934,0.6339138283798493
31,female,0.1120937897375992,0.0615783348229302,0.1923113164,0.0,0,0,0.0084394752566364,0.625577083782834
32,female,0.110854321351667,0.0592522560735877,0.1954310363,0.0,0,0,0.0079916712981701,0.626470714976575
33,female,0.109485362049711,0.0579648434732677,0.1985507562,0.0,0,0,0.0076938303777136,0.6263052078993075
34,female,0.1072817631610216,0.057771792235937,0.2016704761,0.0,0,0,0.0074902572813001,0.6257857112217411
