age,sex,s,v,rs,rv,dead,vrs,sv,n
0,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
1,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
2,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
3,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
4,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
5,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
6,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
7,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
8,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
9,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
10,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
11,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
12,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
13,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
14,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
15,male,0.0170292422207808,0.047871801175887,0.0,0.0,0,0,0.0008726156200125,0.9342263409833196
16,male,0.0276680352574638,0.0694849182164558,0.0059428570999999,0.0,0,0,0.0021344334910519,0.8947697559350283
17,male,0.0448032681438732,0.0852788658917517,0.0118857141999999,0.0,0,0,0.004414508461965,0.8536176433024099
18,male,0.066056188166035,0.1069876998424309,0.0178285713,0.0,0,0,0.0086362311335181,0.8004913095580158
19,male,0.0948368423093999,0.1347778650587288,0.0237714284,0.0,0,0,0.0169651790616564,0.7296486851702148
20,male,0.1060851947710117,0.1455978858416101,0.0297142855,0.0,0,0,0.0212437775358066,0.6973588563515716
21,male,0.1193807405974833,0.1494753094320297,0.0542171425999999,0.0,0,0,0.0252803415976772,0.6516464657728097
22,male,0.1242450825199168,0.1490414015971013,0.0787199996999999,0.0,0,0,0.0264436054801551,0.6215499107028268
23,male,0.1303969928155617,0.1425053545084094,0.1032228568,0.0,0,0,0.0265243770116552,0.5973504188643735
24,male,0.1321726941260785,0.1310729355524956,0.1277257139,0.0,0,0,0.0243168888056365,0.5847117676157894
25,male,0.1340128878849275,0.1192206295585588,0.1522285709999999,0.0,0,0,0.0220458763355918,0.5724920352209217
26,male,0.1390914294885575,0.1087447641038346,0.1648457139,0.0,0,0,0.0206777202953904,0.5666403722122175
27,male,0.1435017785134969,0.1025362469544978,0.1774628567999999,0.0,0,0,0.0200488775308592,0.556450240201146
28,male,0.1451624696405786,0.0974356762167283,0.1900799997,0.0,0,0,0.0191590118876266,0.5481628425550664
29,male,0.1466951662847025,0.0930511186340618,0.2026971426,0.0,0,0,0.0184000566221568,0.5391565158590788
30,male,0.1430326508190671,0.0899885634322191,0.2153142854999999,0.0,0,0,0.0171660225087292,0.5344984777399844
31,male,0.1386982566733062,0.0908704332993441,0.2188647616999999,0.0,0,0,0.0167220591590826,0.5348444891682671
32,male,0.1367174238464958,0.08838506786626,0.2224152379,0.0,0,0,0.0159211531470445,0.5365611172401996
33,male,0.1346794003342905,0.0863067191397936,0.2259657141,0.0,0,0,0.0152183893634626,0.5378297770624532
34,male,0.1313731238679366,0.0847738184958827,0.2295161902999999,0.0,0,0,0.0144753364323994,0.5398615309037812
35,male,0.1280988857724607,0.0834061021101361,0.2330666665,0.0,0,0,0.0137913754909666,0.5416369701264365
36,male,0.122707654827196,0.081376218375252,0.2425599997999999,0.0,0,0,0.0127501516049354,0.5406059753926165
37,male,0.1173878810764475,0.0800532004940476,0.2520533331,0.0,0,0,0.0118851490248115,0.5386204363046933
38,male,0.1160093393382049,0.0782151012294079,0.2615466664,0.0,0,0,0.0114227355235483,0.5328061575088388
39,male,0.1146569331257932,0.0762682105557661,0.2710399997,0.0,0,0,0.0109566211267127,0.5270782354917277
40,male,0.1133300592960043,0.0742120912197913,0.280533333,0.0,0,0,0.0104872430876357,0.5214372733965685
41,male,0.1136468059787755,0.0708452943205539,0.2822399997,0.0,0,0,0.0099953016723321,0.5232725983283384
42,male,0.1137990633132769,0.0686366885665285,0.2839466664,0.0,0,0,0.0096680625647789,0.5239495191554155
43,male,0.1139512677533854,0.0664226433753991,0.2856533331,0.0,0,0,0.0093410891510664,0.5246316666201489
44,male,0.1141034180601835,0.0642031576684479,0.2873599998,0.0,0,0,0.0090143825099123,0.5253190419614562
45,male,0.1142699199449835,0.0618754538104298,0.2890666665,0.0,0,0,0.0086735367696414,0.526114422974945
46,male,0.1135538124817347,0.0586109291221972,0.2907733332,0.0,0,0,0.0081192687947433,0.5289426564013247
47,male,0.1126945385481516,0.0563884184712196,0.2924799998999999,0.0,0,0,0.0077194918649376,0.530717551215691
48,male,0.1118465157586624,0.054104757511983,0.2941866666,0.0,0,0,0.0073197245991004,0.5325423355302539
49,male,0.1110095454667328,0.0517598117920376,0.2958933332999999,0.0,0,0,0.0069201014496818,0.5344172079915477
50,male,0.1101834320519943,0.0493534502921984,0.2976,0.0,0,0,0.0065207534358666,0.5363423642199407
51,male,0.11041481199469,0.0459591393443052,0.3025066666999999,0.0,0,0,0.0060587005229131,0.5350606814380916
52,male,0.1105166485512273,0.0435372425632743,0.3074133334,0.0,0,0,0.0057265869329883,0.5328061885525099
53,male,0.1106145949416295,0.041136909693074,0.3123200001,0.0,0,0,0.0053987590035823,0.5305297362617141
54,male,0.1107086718062994,0.0387581618170546,0.3172266668,0.0,0,0,0.0050751956513446,0.5282313039253013
55,male,0.1108695662563535,0.0358601450204979,0.3221333334999999,0.0,0,0,0.0046852093217537,0.5264517459013948
