year,age,sex,smoking,vaping
2021,0,male,0.0,0.0
2021,1,male,0.0,0.0
2021,2,male,0.0,0.0
2021,3,male,0.0,0.0
2021,4,male,0.0,0.0
2021,5,male,0.0,0.0
2021,6,male,0.0,0.0
2021,7,male,0.0,0.0
2021,8,male,0.0,0.0
2021,9,male,0.0,0.0
2021,10,male,0.0,0.0
2021,11,male,0.0,0.0
2021,12,male,0.0,0.0
2021,13,male,0.0,0.0
2021,14,male,0.0,0.0
2021,15,male,0.0166643482052671,0.0659739675762492
2021,16,male,0.027765558266248,0.0909463283095375
2021,17,male,0.0459166894596525,0.1106775762963332
2021,18,male,0.0698081708567327,0.1392087174241383
2021,19,male,0.1047658730634441,0.1790002735930032
2021,20,male,0.1194470635439271,0.1953634646306585
2021,21,male,0.1358733296536095,0.2035950452083769
2021,22,male,0.1415953906552686,0.2036950153261583
2021,23,male,0.1475172886235711,0.1956633749840026
2021,24,male,0.1471068630083638,0.1795001241819099
2021,25,male,0.146697382787589,0.1626012924246304
2021,26,male,0.1502248149082394,0.1478110970696862
2021,27,male,0.1538217763054405,0.1393280753488103
2021,28,male,0.1545552213921654,0.1319467404405371
2021,29,male,0.1552915218487696,0.1256670923448668
2021,30,male,0.1506332794969928,0.1204891310617992
2021,31,male,0.1460906029248649,0.1215633725835819
2021,32,male,0.143447487352202,0.1176831996963138
2021,33,male,0.1408443043631063,0.1144519210069455
2021,34,male,0.1370001309724627,0.1118695365154769
2021,35,male,0.1332446074724139,0.1095873531326544
2021,36,male,0.1271460207886784,0.1061457380248812
2021,37,male,0.1212875059044419,0.1036852009300292
2021,38,male,0.1195446581373965,0.1010917622167746
2021,39,male,0.1178234962651205,0.0983654218851175
2021,40,male,0.1161238467342777,0.0955061799350578
2021,41,male,0.1159580971419163,0.0911001220887458
2021,42,male,0.1157925531388981,0.08822367721447
2021,43,male,0.1156272145586745,0.0853386308780861
2021,44,male,0.1154620812345732,0.0824449830795941
2021,45,male,0.1152971529998011,0.0794573780511733
2021,46,male,0.1140955086116619,0.0752120159297615
2021,47,male,0.112904789680165,0.0722443905385413
2021,48,male,0.1117249301220679,0.0691668579657646
2021,49,male,0.1105558635470417,0.0659794182114314
2021,50,male,0.1093975232761406,0.0626820712755416
2021,51,male,0.1091795072642028,0.0578933226641267
2021,52,male,0.1089618725748299,0.0546190614959316
2021,53,male,0.1087446187528551,0.0513563432115838
2021,54,male,0.1085277453427969,0.0481051678110833
2021,55,male,0.1083112518888625,0.0440654805468182
